Teams,Total Matches,Wins Team 1,Wins Team 2,Draws
India vs South Africa,101,50,46,5
India vs Sri Lanka,80,37,38,5
India vs Thailand,3,2,1,0
India vs United Arab Emirates,4,4,0,0
India vs United States of America,1,0,1,0
India vs West Indies,83,33,43,7
India vs Zimbabwe,21,9,12,0
Indonesia vs Japan,9,5,4,0
Indonesia vs Malaysia,1,0,1,0
Indonesia vs Maldives,1,0,1,0
Indonesia vs Mongolia,6,4,2,0
Indonesia vs Myanmar,6,2,4,0
Indonesia vs Papua New Guinea,2,1,1,0
Indonesia vs Philippines,8,4,3,1
Indonesia vs Qatar,1,0,1,0
Indonesia vs Samoa,1,0,1,0
Indonesia vs Saudi Arabia,1,1,0,0
Indonesia vs Singapore,3,2,1,0
Indonesia vs South Korea,4,2,2,0
Indonesia vs Thailand,8,4,4,0
Indonesia vs United Arab Emirates,1,1,0,0
Indonesia vs Vanuatu,1,1,0,0
Iran vs Kuwait,1,0,1,0
Ireland vs Italy,1,1,0,0
Ireland vs Jersey,2,1,1,0
Ireland vs Namibia,2,1,1,0
Ireland vs Nepal,4,2,2,0
Ireland vs Netherlands,28,12,15,1
Ireland vs New Zealand,13,5,8,0
Ireland vs Nigeria,1,1,0,0
Ireland vs Oman,7,3,4,0
Ireland vs Pakistan,17,5,12,0
Ireland vs Papua New Guinea,6,3,3,0
Ireland vs Scotland,31,15,15,1
Ireland vs South Africa,26,17,8,1
Ireland vs Sri Lanka,13,7,6,0
Ireland vs Thailand,5,0,5,0
Ireland vs Uganda,1,0,1,0
Ireland vs United Arab Emirates,20,10,10,0
Ireland vs United States of America,4,2,2,0
Ireland vs Vanuatu,1,0,1,0
Ireland vs West Indies,24,8,14,2
Ireland vs Zimbabwe,53,26,21,6
Isle of Man vs Italy,2,0,2,0
Isle of Man vs Luxembourg,1,1,0,0
Isle of Man vs Malta,2,0,2,0
Isle of Man vs Portugal,1,1,0,0
Isle of Man vs Romania,2,0,2,0
Isle of Man vs Serbia,1,1,0,0
Isle of Man vs Spain,5,0,4,1
Isle of Man vs Turkey,2,2,0,0
Israel vs Luxembourg,1,0,1,0
Israel vs Malta,1,1,0,0
Israel vs Portugal,1,0,1,0
Israel vs Romania,1,1,0,0
Israel vs Spain,1,0,1,0
Italy vs Jersey,6,3,3,0
Italy vs Luxembourg,1,1,0,0
Italy vs Netherlands,4,1,3,0
Italy vs Romania,1,1,0,0
Italy vs Scotland,2,2,0,0
Italy vs Spain,2,1,1,0
Italy vs Sweden,1,1,0,0
Italy vs Turkey,2,1,1,0
Ivory Coast vs Nigeria,1,1,0,0
Ivory Coast vs Sierra Leone,1,1,0,0
Ivory Coast vs St Helena,1,0,1,0
Japan vs Malaysia,1,1,0,0
Japan vs Maldives,1,1,0,0
Japan vs Mongolia,7,5,1,1
Japan vs Nepal,2,2,0,0
Japan vs Oman,1,1,0,0
Japan vs Papua New Guinea,3,0,3,0
Japan vs Philippines,5,4,1,0
Japan vs Samoa,1,1,0,0
Japan vs Saudi Arabia,1,0,1,0
Japan vs Singapore,7,4,3,0
Japan vs South Korea,4,2,2,0
Japan vs Tanzania,1,1,0,0
Japan vs Thailand,1,1,0,0
Japan vs United Arab Emirates,1,0,1,0
Japan vs Vanuatu,5,3,2,0
Jersey vs Namibia,1,0,1,0
Jersey vs Netherlands,3,2,0,1
Jersey vs Nigeria,1,1,0,0
Jersey vs Norway,2,1,1,0
Jersey vs Oman,1,1,0,0
Jersey vs Papua New Guinea,1,1,0,0
Jersey vs Scotland,1,1,0,0
Jersey vs Serbia,1,1,0,0
Jersey vs Singapore,1,0,1,0
Jersey vs Spain,2,0,2,0
Jersey vs Sweden,1,1,0,0
Jersey vs Switzerland,1,1,0,0
Jersey vs Turkey,1,0,1,0
Jersey vs Uganda,1,1,0,0
Jersey vs United Arab Emirates,2,1,1,0
Jersey vs United States of America,2,1,1,0
Jersey vs Zimbabwe,1,1,0,0
Kenya vs Lesotho,2,2,0,0
Kenya vs Malawi,4,1,2,1
Kenya vs Malaysia,1,0,1,0
Kenya vs Mali,1,0,1,0
Kenya vs Mozambique,1,1,0,0
Kenya vs Namibia,3,0,3,0
Kenya vs Nepal,4,2,2,0
Kenya vs Netherlands,1,0,1,0
Kenya vs Nigeria,12,6,6,0
Kenya vs Papua New Guinea,1,0,1,0
Kenya vs Qatar,1,0,1,0
Kenya vs Rwanda,22,12,10,0
Kenya vs Scotland,2,1,1,0
Kenya vs Seychelles,3,1,2,0
Kenya vs Singapore,1,1,0,0
Kenya vs Sri Lanka,1,0,1,0
Kenya vs St Helena,1,0,0,1
Kenya vs Tanzania,7,3,4,0
Kenya vs Uganda,18,9,9,0
Kenya vs Zimbabwe,4,4,0,0
Kuwait vs Malaysia,11,3,8,0
Kuwait vs Maldives,4,1,3,0
Kuwait vs Mongolia,1,1,0,0
Kuwait vs Myanmar,7,5,2,0
Kuwait vs Nepal,6,2,4,0
Kuwait vs Oman,4,3,1,0
Kuwait vs Qatar,7,2,5,0
Kuwait vs Saudi Arabia,5,0,5,0
Kuwait vs Singapore,6,0,6,0
Kuwait vs Tanzania,1,0,1,0
Kuwait vs Thailand,3,2,0,1
Kuwait vs United Arab Emirates,9,3,6,0
Kuwait vs Vanuatu,2,0,2,0
Lesotho vs Malawi,3,2,1,0
Lesotho vs Mali,2,2,0,0
Lesotho vs Mozambique,3,3,0,0
Lesotho vs Namibia,1,1,0,0
Lesotho vs Rwanda,3,1,1,1
Lesotho vs Seychelles,1,0,1,0
Lesotho vs Sierra Leone,1,1,0,0
Lesotho vs St Helena,1,1,0,0
Lesotho vs Uganda,1,0,1,0
Luxembourg vs Malta,3,1,2,0
Luxembourg vs Norway,1,1,0,0
Luxembourg vs Romania,3,1,2,0
Luxembourg vs Slovenia,1,1,0,0
Luxembourg vs Switzerland,2,1,1,0
Luxembourg vs Turkey,1,1,0,0
Malawi vs Mali,1,0,1,0
Malawi vs Namibia,1,0,1,0
Malawi vs Nigeria,1,1,0,0
Malawi vs Rwanda,6,2,4,0
Malawi vs Seychelles,2,1,0,1
Malawi vs Sierra Leone,1,1,0,0
Malawi vs St Helena,1,0,1,0
Malawi vs Swaziland,1,0,1,0
Malawi vs Tanzania,2,2,0,0
Malawi vs Uganda,2,1,1,0
Malaysia vs Maldives,3,1,1,1
Malaysia vs Mongolia,1,0,1,0
Malaysia vs Myanmar,2,1,1,0
Malaysia vs Namibia,2,0,2,0
Malaysia vs Nepal,18,4,14,0
Malaysia vs Netherlands,2,1,0,1
Malaysia vs Oman,2,2,0,0
Malaysia vs Pakistan,2,1,1,0
Malaysia vs Papua New Guinea,6,3,3,0
Malaysia vs Qatar,6,1,4,1
Malaysia vs Saudi Arabia,1,1,0,0
Malaysia vs Scotland,1,1,0,0
Malaysia vs Singapore,16,9,7,0
Malaysia vs Sri Lanka,4,4,0,0
Malaysia vs Tanzania,1,0,1,0
Malaysia vs Thailand,10,5,5,0
Malaysia vs United Arab Emirates,8,3,5,0
Malaysia vs Vanuatu,6,3,3,0
Maldives vs Mongolia,1,1,0,0
Maldives vs Myanmar,1,0,1,0
Maldives vs Nepal,5,5,0,0
Maldives vs Oman,1,1,0,0
Maldives vs Qatar,3,2,1,0
Maldives vs Saudi Arabia,3,1,2,0
Maldives vs Singapore,2,2,0,0
Maldives vs Thailand,6,3,3,0
Mali vs Rwanda,2,1,1,0
Mali vs Seychelles,1,0,0,1
Mali vs Tanzania,1,0,1,0
Malta vs Portugal,4,3,1,0
Malta vs Romania,10,5,5,0
Malta vs Switzerland,4,2,2,0
Mexico vs Panama,1,1,0,0
Mexico vs Suriname,1,0,1,0
Mongolia vs Myanmar,3,2,1,0
Mongolia vs Nepal,1,1,0,0
Mongolia vs Singapore,1,0,1,0
Mozambique vs Namibia,1,0,1,0
