venue,win_by_runs,win_by_wickets,matches_played
Sylhet Stadium,19.666666666666668,1.3333333333333333,3
"TCA Oval, Blantyre",0.0,7.666666666666667,3
Tafawa Balewa Square (TBS) Cricket Oval,117.0,0.0,1
"Tafawa Balewa Square Cricket Oval, Lagos",39.59090909090909,2.3181818181818183,22
Takashinga Sports Club,43.333333333333336,3.3333333333333335,3
"Takashinga Sports Club, Highfield, Harare",10.0,2.5,12
Terdthai Cricket Ground,26.055555555555557,3.0555555555555554,18
"Terdthai Cricket Ground, Bangkok",24.90625,4.21875,32
The Cooper Associates County Ground,40.285714285714285,1.8571428571428572,7
"The Cooper Associates County Ground, Taunton",13.8,1.8,5
The Hills Cricket Club Ground,0.0,7.0,1
The Rose Bowl,9.727272727272727,3.409090909090909,22
"The Rose Bowl, Southampton",49.75,1.0,8
"The Village, Malahide",37.388888888888886,3.2222222222222223,18
"The Village, Malahide, Dublin",13.76923076923077,2.1538461538461537,13
The Vineyard,306.0,0.0,1
The Wanderers Stadium,70.46666666666667,2.533333333333333,15
"The Wanderers Stadium, Johannesburg",58.25,2.375,16
Tikkurila Cricket Ground,28.227272727272727,1.5909090909090908,22
"Titwood, Glasgow",0.0,5.333333333333333,3
Tolerance Oval,17.22222222222222,3.5555555555555554,9
"Tolerance Oval, Abu Dhabi",28.2,3.65,20
Tony Ireland Stadium,9.0,0.0,2
"Tony Ireland Stadium, Townsville",0.0,6.5,2
Trent Bridge,79.21428571428571,1.7857142857142858,14
"Trent Bridge, Nottingham",47.333333333333336,2.0,9
Tribhuvan University International Cricket Ground,37.0,3.5,10
"Tribhuvan University International Cricket Ground, Kirtipur",17.819444444444443,2.875,72
Turf City B Cricket Ground,0.0,9.0,1
"UKM-YSD Cricket Oval, Bangi",19.625,4.1,40
Udayana Cricket Ground,33.595238095238095,3.8333333333333335,42
United Cricket Club Ground,61.888888888888886,2.6666666666666665,9
"United Cricket Club Ground, Windhoek",18.609756097560975,3.1463414634146343,41
University Oval,52.083333333333336,2.5,12
"University Oval, Dunedin",20.2,2.5,10
University of Dar-es-Salaam Ground,10.714285714285714,6.285714285714286,7
University of Doha for Science and Technology,34.166666666666664,2.5833333333333335,12
University of Lagos Cricket Oval,36.25,2.5,8
VRA Ground,26.571428571428573,3.4285714285714284,14
"VRA Ground, Amstelveen",39.3,2.75,20
Vanuatu Cricket Ground,28.8,3.8,10
Vanuatu Cricket Ground (Oval 2),10.75,5.375,8
"Vidarbha Cricket Association Stadium, Jamtha",31.866666666666667,3.066666666666667,15
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",44.0,3.3333333333333335,3
W.A.C.A. Ground,9.142857142857142,3.5714285714285716,7
Wanderers,0.0,7.0,1
Wanderers Cricket Ground,145.0,0.0,1
"Wanderers Cricket Ground, Windhoek",24.872340425531913,3.0425531914893615,47
Wankhede Stadium,29.923076923076923,3.4615384615384617,13
"Wankhede Stadium, Mumbai",95.625,1.75,16
"Warner Park, Basseterre",38.6,2.2,5
"Warner Park, Basseterre, St Kitts",15.090909090909092,5.2727272727272725,11
"Warner Park, St Kitts",34.25,4.25,4
"West End Park International Cricket Stadium, Doha",17.622222222222224,3.2,45
Western Australia Cricket Association Ground,36.125,3.5,8
"Western Australia Cricket Association Ground, Perth",183.5,0.0,2
Westpac Stadium,41.23809523809524,2.2857142857142856,21
"White Hill Field, Sandys Parish",24.916666666666668,3.9166666666666665,12
Willowmoore Park,34.333333333333336,4.833333333333333,6
"Willowmoore Park, Benoni",29.894736842105264,3.1052631578947367,19
"Windsor Park, Roseau",50.5,4.5,2
