venue,win_by_runs,win_by_wickets,matches_played,venue_category
"Narendra Modi Stadium, Ahmedabad",47.53846153846154,2.6153846153846154,13,Batting-Friendly
"Nassau County International Cricket Stadium, New York",2.75,4.0,8,Balanced
"National Cricket Stadium, Grenada",11.0,1.6666666666666667,3,Balanced
"National Cricket Stadium, St George's",0.0,8.5,2,Bowling-Friendly
"National Cricket Stadium, St George's, Grenada",9.125,3.125,8,Balanced
"National Sports Academy, Sofia",12.5625,5.0625,16,Bowling-Friendly
National Stadium,62.77777777777778,2.2222222222222223,9,Batting-Friendly
"National Stadium, Hamilton",84.2,1.0,5,Batting-Friendly
"National Stadium, Karachi",22.92105263157895,3.0,38,Balanced
New Wanderers Stadium,37.09090909090909,3.636363636363636,11,Balanced
Newlands,47.0,2.7777777777777777,27,Batting-Friendly
"Newlands, Cape Town",21.94117647058824,3.5294117647058822,17,Balanced
"Nigeria Cricket Federation Oval 1, Abuja",0.0,7.0,4,Bowling-Friendly
"Nigeria Cricket Federation Oval 2, Abuja",43.0,3.6,5,Balanced
Nondescripts Cricket Club Ground,41.833333333333336,3.5,6,Balanced
North Sydney Oval,34.6,4.2,5,Balanced
"North Sydney Oval, Sydney",36.875,3.375,8,Balanced
North-West University No1 Ground,40.0,5.666666666666667,3,Balanced
Old Hararians,58.083333333333336,2.083333333333333,12,Batting-Friendly
"Old Hararians, Harare",0.0,3.0,1,Balanced
Old Trafford,63.25,1.8333333333333333,24,Batting-Friendly
"Old Trafford, Manchester",42.57142857142857,1.8571428571428568,7,Batting-Friendly
P Sara Oval,54.125,3.125,16,Balanced
"P Sara Oval, Colombo",0.0,5.75,4,Bowling-Friendly
Pallekele International Cricket Stadium,26.930232558139537,2.6511627906976742,43,Balanced
"Pembroke Cricket Club, Sandymount",0.0,6.0,1,Bowling-Friendly
"Pembroke Cricket Club, Sandymount, Dublin",3.4,4.6,5,Bowling-Friendly
Perth Stadium,87.93333333333334,2.8,15,Batting-Friendly
Pierre Werner Cricket Ground,57.66666666666666,0.0,3,Batting-Friendly
Pokhara Rangasala,62.25,7.5,4,Balanced
Prairie View Cricket Complex,7.285714285714286,3.571428571428572,7,Balanced
Providence Stadium,28.57894736842105,2.3157894736842106,19,Balanced
"Providence Stadium, Guyana",16.57894736842105,2.8947368421052637,19,Balanced
Pukekura Park,1.0,0.0,1,Balanced
"Punjab Cricket Association IS Bindra Stadium, Mohali",29.4,2.5,10,Balanced
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",74.0,3.0,3,Balanced
"Punjab Cricket Association Stadium, Mohali",54.0,3.5,2,Balanced
"Queen's Park Oval, Port of Spain",47.71428571428572,2.0,7,Batting-Friendly
"Queen's Park Oval, Port of Spain, Trinidad",24.4,0.4,5,Balanced
"Queen's Park Oval, Trinidad",29.5,3.0,2,Balanced
Queens Sports Club,72.47058823529412,1.411764705882353,17,Batting-Friendly
"Queens Sports Club, Bulawayo",34.285714285714285,2.342857142857143,35,Batting-Friendly
R Premadasa Stadium,28.294117647058822,3.0588235294117645,17,Balanced
"R Premadasa Stadium, Colombo",26.176470588235293,3.0588235294117645,34,Balanced
